_load_
"keypress <96> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""Fastnett ( 1 )"""
"click on ""ISDN Basis - 7570880"""
"click on ""JOHANSEN, ÃYVIND"""
"click on ""Skytjenester"""
"click on ""speach"""
"click on ""sms"""
"keypress <BACKSPACE> on ""search-input ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""Accounts"""
"click on ""1215990"""
"click on ""481 69 147"""
"click on ""Abonnement ( 3 )"""
"click on ""Abonnement ( 5 )"""
"click on ""Meny"""
"click on ""Lokasjoner"""
"click on ""Bytt konto"""
"click on ""ASOR 41"""
"click on ""ngIf: simcards[simcardType]"""
"scroll on ""Page: simcards?simType=DATACARD1"""
"click on ""580007611611"""
"click on ""580000033147"""
"click on ""3512"""
"click on ""580000148465"""
"click on ""Abonnementstype"""
"click on ""Slett"""
"click on ""SKRÃVJE, KRISTOFFER"""
"keypress <i> on ""simNumber"""
"click on ""580000449290"""
"keypress <S> on ""ng-untouched ng-valid ng-valid-maxlength ng-dirty ng-valid-parse"""
"click on ""Settings"""
